url_length,special_char_count,digit_ratio,letter_ratio,subdomain_count,url_entropy,has_ip
41,9,0.0,0.7804878048780488,1,2.8703956644208404,0
12,1,0.0,0.9166666666666666,1,2.1383330595080277,0
19,1,0.0,0.9473684210526315,1,2.506661812497001,0
37,5,0.2702702702702703,0.5945945945945946,1,2.887249953977539,0
60,7,0.13333333333333333,0.75,1,3.343209266059187,0
12,1,0.08333333333333333,0.8333333333333334,1,2.3693821196946763,0
29,7,0.0,0.7586206896551724,2,2.6415342108135755,0
22,1,0.0,0.9545454545454546,1,2.5869354129510826,0
13,2,0.0,0.8461538461538461,1,2.351673301904631,0
43,10,0.0,0.7674418604651163,1,3.0555692333395963,0
19,4,0.05263157894736842,0.7368421052631579,1,2.798513256943294,0
7,1,0.2857142857142857,0.5714285714285714,1,1.7478680974667578,0
71,8,0.2535211267605634,0.6338028169014085,1,3.1113510914097726,0
43,5,0.16279069767441862,0.7209302325581395,1,2.9710195835815703,0
14,1,0.0,0.9285714285714286,1,2.2055983590263937,0
61,6,0.26229508196721313,0.639344262295082,1,3.1315954198996865,0
19,2,0.0,0.8947368421052632,1,2.698011019844113,0
36,5,0.0,0.8611111111111112,2,2.793724898557885,0
18,2,0.0,0.8888888888888888,1,2.5823063443139667,0
27,5,0.037037037037037035,0.7777777777777778,1,2.692291152676629,0
23,3,0.0,0.8695652173913043,1,2.6533048729309274,0
12,2,0.0,0.8333333333333334,1,2.253857589601352,0
15,2,0.0,0.8666666666666667,2,2.2459520807289133,0
10,1,0.0,0.9,1,1.8343719702816237,0
11,1,0.0,0.9090909090909091,1,2.0198149924929463,0
39,5,0.1794871794871795,0.6923076923076923,1,3.1612136685436916,0
24,1,0.0,0.9583333333333334,1,2.6004311798813253,0
56,8,0.21428571428571427,0.6428571428571429,1,3.110963033109062,0
10,1,0.0,0.9,1,2.163955656882057,0
50,7,0.0,0.86,2,2.885623136864292,0
58,11,0.15517241379310345,0.6551724137931034,1,3.220531774671006,0
19,2,0.0,0.8947368421052632,2,2.3056573382986394,0
63,7,0.0,0.8888888888888888,1,2.719177410017188,0
76,8,0.19736842105263158,0.6973684210526315,1,3.224813539155115,0
49,8,0.10204081632653061,0.7346938775510204,1,3.237366821050806,0
30,6,0.03333333333333333,0.7666666666666667,1,2.904216051704555,0
29,7,0.0,0.7586206896551724,1,2.8712202522291133,0
